Reward:-113.750 | Episode:1080 | Qmax:-1.3880 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-28.332 | Episode:1090 | Qmax:-0.9739 | Episode Length:3 |  True | Age:29.000 | Credit Amt:2316.380 | Duration:21.973 | 
Reward:-86.497 | Episode:1100 | Qmax:2.0875 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1940.253 | Duration:21.973 | 
Reward:6.079 | Episode:1110 | Qmax:-2.4205 | Episode Length:6 |  True | Age:29.000 | Credit Amt:2639.693 | Duration:21.973 | 
Reward:-111.626 | Episode:1120 | Qmax:-2.4092 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1815.034 | Duration:21.973 | 
Reward:-75.534 | Episode:1130 | Qmax:-2.5850 | Episode Length:5 |  True | Age:29.000 | Credit Amt:2000.576 | Duration:21.973 | 
Reward:4.587 | Episode:1140 | Qmax:-2.2217 | Episode Length:3 |  True | Age:29.000 | Credit Amt:2623.111 | Duration:21.973 | 
Reward:-25.481 | Episode:1150 | Qmax:-2.3638 | Episode Length:7 |  True | Age:29.000 | Credit Amt:2339.326 | Duration:21.973 | 
Reward:-65.110 | Episode:1160 | Qmax:-3.2710 | Episode Length:6 |  True | Age:30.384 | Credit Amt:2064.439 | Duration:21.973 | 
Reward:-113.998 | Episode:1170 | Qmax:-2.2229 | Episode Length:3 |  True | Age:29.838 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:2.990 | Episode:1180 | Qmax:-2.1923 | Episode Length:2 |  True | Age:29.201 | Credit Amt:2606.268 | Duration:21.973 | 
Reward:-43.093 | Episode:1190 | Qmax:-2.2069 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2205.780 | Duration:21.973 | 
Reward:-38.885 | Episode:1200 | Qmax:-2.3466 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2236.011 | Duration:21.973 | 
Reward:-56.698 | Episode:1210 | Qmax:-2.7281 | Episode Length:2 |  True | Age:29.000 | Credit Amt:2114.221 | Duration:21.973 | 
Reward:-113.750 | Episode:1220 | Qmax:-2.2097 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.824 | Episode:1230 | Qmax:-2.7054 | Episode Length:2 |  True | Age:29.271 | Credit Amt:1805.176 | Duration:21.973 | 
