Reward:-218.169 | Episode:1310 | Qmax:-73.5929 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:36.978 | 
Reward:-40.006 | Episode:1320 | Qmax:-74.6637 | Episode Length:49 |  False | Age:38.376 | Credit Amt:4031.854 | Duration:41.973 | 
Reward:-226.744 | Episode:1330 | Qmax:-75.0805 | Episode Length:49 |  False | Age:39.000 | Credit Amt:11805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1340 | Qmax:-75.6974 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1350 | Qmax:-76.2172 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-31.003 | Episode:1360 | Qmax:-76.7547 | Episode Length:49 |  False | Age:39.000 | Credit Amt:4854.298 | Duration:21.973 | 
Reward:-226.744 | Episode:1370 | Qmax:-77.0362 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-216.055 | Episode:1380 | Qmax:-77.3344 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:30.735 | 
Reward:-226.744 | Episode:1390 | Qmax:-77.2816 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-16.908 | Episode:1400 | Qmax:-77.4701 | Episode Length:49 |  False | Age:29.049 | Credit Amt:8614.098 | Duration:21.973 | 
Reward:-24.940 | Episode:1410 | Qmax:-77.1473 | Episode Length:49 |  False | Age:39.000 | Credit Amt:7407.351 | Duration:21.973 | 
Reward:-192.200 | Episode:1420 | Qmax:-76.1311 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1964.642 | Duration:23.024 | 
Reward:-71.947 | Episode:1430 | Qmax:-75.3313 | Episode Length:49 |  False | Age:39.000 | Credit Amt:3146.994 | Duration:21.973 | 
Reward:-31.468 | Episode:1440 | Qmax:-74.3361 | Episode Length:49 |  False | Age:39.000 | Credit Amt:4800.878 | Duration:41.973 | 
Reward:-226.744 | Episode:1450 | Qmax:-73.1855 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:1460 | Qmax:-72.0839 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-204.171 | Episode:1470 | Qmax:-71.1894 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1908.000 | Duration:41.449 | 
Reward:-216.145 | Episode:1480 | Qmax:-70.4351 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:33.469 | 
Reward:-221.422 | Episode:1490 | Qmax:-69.7230 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:24.314 | 
Reward:-226.744 | Episode:1500 | Qmax:-68.6317 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
